ID,stacktrace,original_label,label_generated,,,,
0,"[{'exception': 'java.lang.ArrayIndexOutOfBoundsException', 'message': '1 >= 1', 'frames': [{'function': 'java.util.Vector.elementAt', 'file': 'Vector.java', 'fileline': 328, 'depth': 0}, {'function': 'com.sun.java.swing.JTabbedPane.setIconAt', 'file': 'JTabbedPane.java', 'fileline': 772, 'depth': 1}, {'function': 'com.netbeans.developer.base.windows.MultiObjectFrame.updateIcons', 'file': 'MultiObjectFrame.java', 'fileline': 336, 'depth': 2}, {'function': 'com.netbeans.developer.base.windows.MultiObjectFrame.access$8', 'file': 'MultiObjectFrame.java', 'fileline': 330, 'depth': 3}, {'function': 'com.netbeans.developer.base.windows.MultiObjectFrame$5.propertyChange', 'file': 'MultiObjectFrame.java', 'fileline': 250, 'depth': 4}, {'function': 'com.netbeans.developer.util.node.Node.fireOwnPropertyChange', 'file': 'Node.java', 'fileline': 280, 'depth': 5}, {'function': 'com.netbeans.developer.util.node.Node.fireIconChange', 'file': 'Node.java', 'fileline': 213, 'depth': 6}, {'function': 'com.netbeans.developerx.loaders.java.JavaNode.resolveIcons', 'file': 'JavaNode.java', 'fileline': 357, 'depth': 7}, {'function': 'com.netbeans.developerx.loaders.java.JavaNode$3.run', 'file': 'JavaNode.java', 'fileline': 321, 'depth': 8}, {'function': 'com.netbeans.developer.util.RequestProcessor$1.execute', 'file': 'RequestProcessor.java', 'fileline': 64, 'depth': 9}, {'function': 'sunw.hotjava.misc.RequestProcessor.run', 'file': 'RequestProcessor.java', 'fileline': 130, 'depth': 10}, {'function': 'java.lang.Thread.run', 'file': 'Thread.java', 'fileline': 474, 'depth': 11}], 'nested': []}]", arrayindexoutofboundsexception, arrayindexoutofboundsexception,,,,
1,"[{'exception': 'java.io.UnsupportedEncodingException', 'message': None, 'frames': [{'function': 'sun.io.ByteToCharConverter.getConverter', 'file': 'ByteToCharConverter.java', 'fileline': 97, 'depth': 0}, {'function': 'java.io.InputStreamReader.<init>', 'file': 'InputStreamReader.java', 'fileline': 82, 'depth': 1}, {'function': 'com.netbeans.developer.util.NetbeansBundle.createResourceBundleFromURL', 'file': 'NetbeansBundle.java', 'fileline': 319, 'depth': 2}, {'function': 'com.netbeans.developer.util.NetbeansBundle.findBundle', 'file': 'NetbeansBundle.java', 'fileline': 294, 'depth': 3}, {'function': 'com.netbeans.developer.util.NetbeansBundle.getBundle', 'file': 'NetbeansBundle.java', 'fileline': 258, 'depth': 4}, {'function': 'com.netbeans.developer.util.NetbeansBundle.getBundle', 'file': 'NetbeansBundle.java', 'fileline': 235, 'depth': 5}, {'function': 'com.netbeans.developer.top.CoronaTopManager.<clinit>', 'file': 'CoronaTopManager.java', 'fileline': 1321, 'depth': 6}], 'nested': []}]", unsupportedencodingexception,stackoverflowerror unsupportedencodingexception,,,,
2,"[{'exception': 'java.io.IOException', 'message': '""/opt/local/jdk1.2/jre/bin/java"": not found', 'frames': [{'function': 'java.lang.UNIXProcess.forkAndExec', 'file': 'NativeMethod', 'fileline': None, 'depth': 0}, {'function': 'java.lang.UNIXProcess.<init>', 'file': 'UNIXProcess.java', 'fileline': 138, 'depth': 1}, {'function': 'java.lang.Runtime.execInternal', 'file': 'NativeMethod', 'fileline': None, 'depth': 2}, {'function': 'java.lang.Runtime.exec', 'file': 'Runtime.java', 'fileline': 272, 'depth': 3}, {'function': 'java.lang.Runtime.exec', 'file': 'Runtime.java', 'fileline': 195, 'depth': 4}, {'function': 'java.lang.Runtime.exec', 'file': 'Runtime.java', 'fileline': 152, 'depth': 5}, {'function': 'com.netbeans.ide.execution.ProcessExecutor.handleExecute', 'file': 'ProcessExecutor.java', 'fileline': 183, 'depth': 6}, {'function': 'com.netbeans.ide.execution.ExecutionEngine.startExecutor', 'file': 'ExecutionEngine.java', 'fileline': 52, 'depth': 7}, {'function': 'com.netbeans.developer.impl.execution.ExecutionEngine.runExecutor', 'file': 'ExecutionEngine.java', 'fileline': 242, 'depth': 8}, {'function': 'com.netbeans.developer.impl.execution.ExecutionEngine$2.run', 'file': 'ExecutionEngine.java', 'fileline': 311, 'depth': 9}, {'function': 'RunInvoker.invokeRun', 'file': 'UnknownSource', 'fileline': None, 'depth': 10}, {'function': 'java.lang.reflect.Method.invoke', 'file': 'NativeMethod', 'fileline': None, 'depth': 11}, {'function': 'com.netbeans.developer.impl.execution.ExecutionEngine$RunClass.run', 'file': 'ExecutionEngine.java', 'fileline': 347, 'depth': 12}], 'nested': []}]", ioexception, ioexception,,,,
3,"[{'exception': 'java.lang.NullPointerException', 'message': None, 'frames': [{'function': 'java.util.ArrayList.addAll', 'file': 'ArrayList.java', 'fileline': 419, 'depth': 0}, {'function': 'com.netbeans.developer.impl.NbWindowManager.componentModes', 'file': 'NbWindowManager.java', 'fileline': 217, 'depth': 1}, {'function': 'com.netbeans.ide.windows.TopComponent.modes', 'file': 'TopComponent.java', 'fileline': 186, 'depth': 2}, {'function': 'com.netbeans.ide.windows.TopComponent.getAllowedModes', 'file': 'TopComponent.java', 'fileline': 269, 'depth': 3}, {'function': 'com.netbeans.ide.actions.DockingAction$ActSubMenuModel.getCount', 'file': 'DockingAction.java', 'fileline': 94, 'depth': 4}, {'function': 'com.netbeans.ide.awt.Actions$SubMenuBridge.generateSubMenu', 'file': 'Actions.java', 'fileline': 375, 'depth': 5}, {'function': 'com.netbeans.ide.awt.Actions$SubMenuBridge.addNotify', 'file': 'Actions.java', 'fileline': 360, 'depth': 6}, {'function': 'com.netbeans.ide.awt.Actions$Bridge.propertyChange', 'file': 'Actions.java', 'fileline': 198, 'depth': 7}, {'function': 'javax.swing.event.SwingPropertyChangeSupport.firePropertyChange', 'file': 'SwingPropertyChangeSupport.java', 'fileline': 154, 'depth': 8}, {'function': 'javax.swing.JComponent.firePropertyChange', 'file': 'JComponent.java', 'fileline': 2924, 'depth': 9}, {'function': 'javax.swing.JComponent.addNotify', 'file': 'JComponent.java', 'fileline': 3169, 'depth': 10}, {'function': 'java.awt.Container.addNotify', 'file': 'Container.java', 'fileline': 1320, 'depth': 11}, {'function': 'javax.swing.JComponent.addNotify', 'file': 'JComponent.java', 'fileline': 3168, 'depth': 12}, {'function': 'java.awt.Container.addNotify', 'file': 'Container.java', 'fileline': 1320, 'depth': 13}, {'function': 'javax.swing.JComponent.addNotify', 'file': 'JComponent.java', 'fileline': 3168, 'depth': 14}, {'function': 'java.awt.Container.addNotify', 'file': 'Container.java', 'fileline': 1320, 'depth': 15}, {'function': 'javax.swing.JComponent.addNotify', 'file': 'JComponent.java', 'fileline': 3168, 'depth': 16}, {'function': 'java.awt.Container.addNotify', 'file': 'Container.java', 'fileline': 1320, 'depth': 17}, {'function': 'javax.swing.JComponent.addNotify', 'file': 'JComponent.java', 'fileline': 3168, 'depth': 18}, {'function': 'javax.swing.JRootPane.addNotify', 'file': 'JRootPane.java', 'fileline': 404, 'depth': 19}, {'function': 'java.awt.Container.addNotify', 'file': 'Container.java', 'fileline': 1320, 'depth': 20}, {'function': 'java.awt.Window.addNotify', 'file': 'Window.java', 'fileline': 238, 'depth': 21}, {'function': 'java.awt.Window.pack', 'file': 'Window.java', 'fileline': 256, 'depth': 22}, {'function': 'javax.swing.JPopupMenu.replacePopup', 'file': 'JPopupMenu.java', 'fileline': 713, 'depth': 23}, {'function': 'javax.swing.JPopupMenu.setVisible', 'file': 'JPopupMenu.java', 'fileline': 797, 'depth': 24}, {'function': 'javax.swing.JPopupMenu.show', 'file': 'JPopupMenu.java', 'fileline': 925, 'depth': 25}], 'nested': []}]", nullpointerexception, nullpointerexception,,,,
4,"[{'exception': 'javax.swing.text.StateInvariantError', 'message': 'infinite loop in formatting', 'frames': [{'function': 'javax.swing.text.ParagraphView.rebuildRows', 'file': 'ParagraphView.java', 'fileline': 272, 'depth': 0}, {'function': 'javax.swing.text.ParagraphView.layout', 'file': 'ParagraphView.java', 'fileline': 216, 'depth': 1}, {'function': 'javax.swing.text.BoxView.setSize', 'file': 'BoxView.java', 'fileline': 151, 'depth': 2}, {'function': 'javax.swing.text.BoxView.layout', 'file': 'BoxView.java', 'fileline': 670, 'depth': 3}, {'function': 'javax.swing.text.BoxView.setSize', 'file': 'BoxView.java', 'fileline': 151, 'depth': 4}, {'function': 'javax.swing.text.BoxView.layout', 'file': 'BoxView.java', 'fileline': 670, 'depth': 5}, {'function': 'javax.swing.text.BoxView.setSize', 'file': 'BoxView.java', 'fileline': 151, 'depth': 6}, {'function': 'javax.swing.text.BoxView.layout', 'file': 'BoxView.java', 'fileline': 670, 'depth': 7}, {'function': 'javax.swing.text.BoxView.setSize', 'file': 'BoxView.java', 'fileline': 151, 'depth': 8}, {'function': 'javax.swing.text.BoxView.layout', 'file': 'BoxView.java', 'fileline': 670, 'depth': 9}, {'function': 'javax.swing.text.BoxView.setSize', 'file': 'BoxView.java', 'fileline': 151, 'depth': 10}, {'function': 'javax.swing.text.BoxView.layout', 'file': 'BoxView.java', 'fileline': 670, 'depth': 11}, {'function': 'javax.swing.text.BoxView.setSize', 'file': 'BoxView.java', 'fileline': 151, 'depth': 12}, {'function': 'javax.swing.text.BoxView.layout', 'file': 'BoxView.java', 'fileline': 670, 'depth': 13}, {'function': 'javax.swing.text.BoxView.setSize', 'file': 'BoxView.java', 'fileline': 151, 'depth': 14}, {'function': 'javax.swing.plaf.basic.BasicTextUI$RootView.setSize', 'file': 'BasicTextUI.java', 'fileline': 1264, 'depth': 15}, {'function': 'javax.swing.plaf.basic.BasicTextUI.getPreferredSize', 'file': 'BasicTextUI.java', 'fileline': 549, 'depth': 16}, {'function': 'javax.swing.JComponent.getPreferredSize', 'file': 'JComponent.java', 'fileline': 705, 'depth': 17}, {'function': 'javax.swing.JEditorPane.getPreferredSize', 'file': 'JEditorPane.java', 'fileline': 934, 'depth': 18}, {'function': 'java.awt.BorderLayout.preferredLayoutSize', 'file': 'BorderLayout.java', 'fileline': 522, 'depth': 19}, {'function': 'java.awt.Container.preferredSize', 'file': 'Container.java', 'fileline': 640, 'depth': 20}, {'function': 'java.awt.Container.getPreferredSize', 'file': 'Container.java', 'fileline': 623, 'depth': 21}, {'function': 'javax.swing.JComponent.getPreferredSize', 'file': 'JComponent.java', 'fileline': 707, 'depth': 22}, {'function': 'javax.swing.ScrollPaneLayout.layoutContainer', 'file': 'ScrollPaneLayout.java', 'fileline': 745, 'depth': 23}, {'function': 'java.awt.Container.layout', 'file': 'Container.java', 'fileline': 490, 'depth': 24}, {'function': 'java.awt.Container.doLayout', 'file': 'Container.java', 'fileline': 480, 'depth': 25}, {'function': 'java.awt.Container.validateTree', 'file': 'Container.java', 'fileline': 550, 'depth': 26}], 'nested': []}]",stateinvarianterror,stateinvarianterror classnotfoundexception,,,,
5,"[{'exception': 'java.lang.ClassNotFoundException', 'message': 'Startup.Keys', 'frames': [{'function': 'java.net.URLClassLoader$1.run', 'file': 'CompiledCode', 'fileline': None, 'depth': 0}, {'function': 'java.security.AccessController.doPrivileged', 'file': 'NativeMethod', 'fileline': None, 'depth': 1}, {'function': 'java.net.URLClassLoader.findClass', 'file': 'CompiledCode', 'fileline': None, 'depth': 2}, {'function': 'java.lang.ClassLoader.loadClass', 'file': 'CompiledCode', 'fileline': None, 'depth': 3}, {'function': 'java.lang.ClassLoader.loadClass', 'file': 'CompiledCode', 'fileline': None, 'depth': 4}, {'function': 'com.netbeans.ide.execution.ThreadExecutor.handleExecute', 'file': 'ThreadExecutor.java', 'fileline': 51, 'depth': 5}, {'function': 'com.netbeans.ide.execution.ExecutionEngine.startExecutor', 'file': 'ExecutionEngine.java', 'fileline': 52, 'depth': 6}, {'function': 'com.netbeans.developer.impl.execution.ExecutionEngine.runExecutor', 'file': 'ExecutionEngine.java', 'fileline': 242, 'depth': 7}, {'function': 'com.netbeans.developer.impl.execution.ExecutionEngine$2.run', 'file': 'ExecutionEngine.java', 'fileline': 311, 'depth': 8}, {'function': 'RunInvoker.invokeRun', 'file': 'UnknownSource', 'fileline': None, 'depth': 9}, {'function': 'java.lang.reflect.Method.invoke', 'file': 'NativeMethod', 'fileline': None, 'depth': 10}, {'function': 'com.netbeans.developer.impl.execution.ExecutionEngine$RunClass.run', 'file': 'ExecutionEngine.java', 'fileline': 347, 'depth': 11}], 'nested': []}]", classnotfoundexception, classnotfoundexception,,,,
6,"[{'exception': 'java.lang.NullPointerException', 'message': None, 'frames': [{'function': 'java.awt.Container.removeNotify', 'file': 'CompiledCode', 'fileline': None, 'depth': 0}, {'function': 'javax.swing.JComponent.removeNotify', 'file': 'CompiledCode', 'fileline': None, 'depth': 1}, {'function': 'java.awt.Container.removeNotify', 'file': 'CompiledCode', 'fileline': None, 'depth': 2}, {'function': 'javax.swing.JComponent.removeNotify', 'file': 'CompiledCode', 'fileline': None, 'depth': 3}, {'function': 'java.awt.Container.remove', 'file': 'Container.java', 'fileline': 371, 'depth': 4}, {'function': 'javax.swing.JLayeredPane.remove', 'file': 'JLayeredPane.java', 'fileline': 217, 'depth': 5}, {'function': 'java.awt.Container.remove', 'file': 'CompiledCode', 'fileline': None, 'depth': 6}, {'function': 'javax.swing.JPopupMenu$JPanelPopup.hide', 'file': 'JPopupMenu.java', 'fileline': 1696, 'depth': 7}, {'function': 'javax.swing.JPopupMenu.setVisible', 'file': 'JPopupMenu.java', 'fileline': 806, 'depth': 8}, {'function': 'javax.swing.JPopupMenu.menuSelectionChanged', 'file': 'JPopupMenu.java', 'fileline': 2065, 'depth': 9}, {'function': 'javax.swing.MenuSelectionManager.setSelectedPath', 'file': 'CompiledCode', 'fileline': None, 'depth': 10}, {'function': 'javax.swing.MenuSelectionManager.clearSelectedPath', 'file': 'MenuSelectionManager.java', 'fileline': 109, 'depth': 11}, {'function': 'javax.swing.plaf.basic.BasicMenuItemUI$MouseInputHandler.mouseReleased', 'file': 'BasicMenuItemUI.java', 'fileline': 673, 'depth': 12}, {'function': 'java.awt.Component.processMouseEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 13}, {'function': 'java.awt.Component.processEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 14}, {'function': 'java.awt.Container.processEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 15}, {'function': 'java.awt.Component.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 16}, {'function': 'java.awt.Container.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 17}, {'function': 'java.awt.Component.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 18}, {'function': 'java.awt.LightweightDispatcher.retargetMouseEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 19}, {'function': 'java.awt.LightweightDispatcher.processMouseEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 20}, {'function': 'java.awt.LightweightDispatcher.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 21}, {'function': 'java.awt.Container.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 22}, {'function': 'java.awt.Window.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 23}, {'function': 'java.awt.Component.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 24}, {'function': 'java.awt.EventQueue.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 25}, {'function': 'java.awt.EventDispatchThread.run', 'file': 'CompiledCode', 'fileline': None, 'depth': 26}], 'nested': []}]", nullpointerexception,stackoverflowerror unsupportedencodingexception,,,,
7,"[{'exception': 'java.lang.Error', 'message': None, 'frames': [{'function': 'com.netbeans.editor.BaseCaret.install', 'file': 'BaseCaret.java', 'fileline': 143, 'depth': 0}, {'function': 'javax.swing.text.JTextComponent.setCaret', 'file': 'JTextComponent.java', 'fileline': 412, 'depth': 1}, {'function': 'com.netbeans.editor.BaseTextUI.modelChanged', 'file': 'BaseTextUI.java', 'fileline': 202, 'depth': 2}, {'function': 'com.netbeans.editor.BaseTextUI.propertyChange', 'file': 'BaseTextUI.java', 'fileline': 556, 'depth': 3}, {'function': 'javax.swing.event.SwingPropertyChangeSupport.firePropertyChange', 'file': 'SwingPropertyChangeSupport.java', 'fileline': 154, 'depth': 4}, {'function': 'javax.swing.JComponent.firePropertyChange', 'file': 'JComponent.java', 'fileline': 2924, 'depth': 5}, {'function': 'javax.swing.text.JTextComponent.setDocument', 'file': 'JTextComponent.java', 'fileline': 314, 'depth': 6}, {'function': 'com.netbeans.ide.text.EditorSupport$Editor.<init>', 'file': 'EditorSupport.java', 'fileline': 669, 'depth': 7}, {'function': 'com.netbeans.ide.text.EditorSupport$Editor.createClonedObject', 'file': 'EditorSupport.java', 'fileline': 678, 'depth': 8}, {'function': 'com.netbeans.ide.windows.CloneableTopComponent.clone', 'file': 'CloneableTopComponent.java', 'fileline': 61, 'depth': 9}, {'function': 'com.netbeans.developer.impl.SingleObjectFrame.performAction', 'file': 'SingleObjectFrame.java', 'fileline': 212, 'depth': 10}, {'function': 'com.netbeans.ide.util.actions.CallbackSystemAction.performAction', 'file': 'CallbackSystemAction.java', 'fileline': 73, 'depth': 11}, {'function': 'com.netbeans.ide.util.actions.CallableSystemAction.actionPerformed', 'file': 'CallableSystemAction.java', 'fileline': 80, 'depth': 12}, {'function': 'javax.swing.AbstractButton.fireActionPerformed', 'file': 'AbstractButton.java', 'fileline': 1066, 'depth': 13}, {'function': 'javax.swing.AbstractButton$ForwardActionEvents.actionPerformed', 'file': 'AbstractButton.java', 'fileline': 1101, 'depth': 14}, {'function': 'javax.swing.DefaultButtonModel.fireActionPerformed', 'file': 'DefaultButtonModel.java', 'fileline': 378, 'depth': 15}, {'function': 'javax.swing.DefaultButtonModel.setPressed', 'file': 'DefaultButtonModel.java', 'fileline': 250, 'depth': 16}, {'function': 'javax.swing.AbstractButton.doClick', 'file': 'AbstractButton.java', 'fileline': 226, 'depth': 17}, {'function': 'javax.swing.plaf.basic.BasicMenuItemUI$MouseInputHandler.mouseReleased', 'file': 'BasicMenuItemUI.java', 'fileline': 674, 'depth': 18}, {'function': 'java.awt.Component.processMouseEvent', 'file': 'Component.java', 'fileline': 3126, 'depth': 19}, {'function': 'java.awt.Component.processEvent', 'file': 'Component.java', 'fileline': 2965, 'depth': 20}, {'function': 'java.awt.Container.processEvent', 'file': 'Container.java', 'fileline': 987, 'depth': 21}, {'function': 'java.awt.Component.dispatchEventImpl', 'file': 'Component.java', 'fileline': 2376, 'depth': 22}, {'function': 'java.awt.Container.dispatchEventImpl', 'file': 'Container.java', 'fileline': 1032, 'depth': 23}], 'nested': []}]",nullpointerexception, ,,,,
8,"[{'exception': 'java.lang.NullPointerException', 'message': None, 'frames': [{'function': 'com.netbeans.ide.awt.HtmlBrowser$9.run', 'file': 'CompiledCode', 'fileline': None, 'depth': 0}, {'function': 'javax.swing.SystemEventQueueUtilities.processRunnableEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 1}, {'function': 'javax.swing.SystemEventQueueUtilities.access$0', 'file': 'CompiledCode', 'fileline': None, 'depth': 2}, {'function': 'javax.swing.SystemEventQueueUtilities$RunnableTarget.processEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 3}, {'function': 'java.awt.Component.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 4}, {'function': 'java.awt.Component.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 5}, {'function': 'java.awt.EventQueue.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 6}, {'function': 'java.awt.EventDispatchThread.run', 'file': 'CompiledCode', 'fileline': None, 'depth': 7}], 'nested': []}]", nullpointerexception,internalerror nullpointerexception,,,,
9,"[{'exception': 'java.lang.ArrayIndexOutOfBoundsException', 'message': '0', 'frames': [{'function': 'com.netbeans.ide.actions.SaveAction.performAction', 'file': 'SaveAction.java', 'fileline': 48, 'depth': 0}, {'function': 'com.netbeans.ide.util.actions.NodeAction.performAction', 'file': 'NodeAction.java', 'fileline': 87, 'depth': 1}, {'function': 'com.netbeans.ide.util.actions.NodeAction.actionPerformed', 'file': 'NodeAction.java', 'fileline': 78, 'depth': 2}, {'function': 'javax.swing.AbstractButton.fireActionPerformed', 'file': 'AbstractButton.java', 'fileline': 1066, 'depth': 3}, {'function': 'javax.swing.AbstractButton$ForwardActionEvents.actionPerformed', 'file': 'AbstractButton.java', 'fileline': 1101, 'depth': 4}, {'function': 'javax.swing.DefaultButtonModel.fireActionPerformed', 'file': 'DefaultButtonModel.java', 'fileline': 378, 'depth': 5}, {'function': 'com.netbeans.ide.awt.EnabledButtonModel.setPressed', 'file': 'EnabledButtonModel.java', 'fileline': 85, 'depth': 6}, {'function': 'javax.swing.plaf.basic.BasicButtonListener.mouseReleased', 'file': 'BasicButtonListener.java', 'fileline': 217, 'depth': 7}, {'function': 'java.awt.AWTEventMulticaster.mouseReleased', 'file': 'AWTEventMulticaster.java', 'fileline': 230, 'depth': 8}, {'function': 'java.awt.AWTEventMulticaster.mouseReleased', 'file': 'AWTEventMulticaster.java', 'fileline': 230, 'depth': 9}, {'function': 'java.awt.Component.processMouseEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 10}, {'function': 'java.awt.Component.processEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 11}, {'function': 'java.awt.Container.processEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 12}, {'function': 'java.awt.Component.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 13}, {'function': 'java.awt.Container.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 14}, {'function': 'java.awt.Component.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 15}, {'function': 'java.awt.LightweightDispatcher.retargetMouseEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 16}, {'function': 'java.awt.LightweightDispatcher.processMouseEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 17}, {'function': 'java.awt.LightweightDispatcher.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 18}], 'nested': []}]", arrayindexoutofboundsexception, arrayindexoutofboundsexception,,,,
